Tab.2.1.17;;;;;;;;;;
;;;;;;;;;;
Ausgaben von Bildungseinrichtungen je Schüler/-in und Studierende/n nach Staaten und Bildungsbereichen in US-Dollar in umgerechneter Kaufkraftparität 1);;;;;;;;;;
;;;;;;;;;;
;;ISCED 1: Primarbereich;ISCED 2: Sekundarbereich I;ISCED 3: Sekundarbereich II;ISCED 2/3: Sekundarbereich zusammen;ISCED 4: Post-sekundarer, nicht-tertiärer Bereich;ISCED 5: Kurzes tertiäres Bildungsprogramm;ISCED 6 bis 8: Bachelor, Master, Promotion oder gleichwertiges Bildungsprogramm;ISCED 5 bis 8: Tertiärbereich insgesamt;ISCED 1 bis 8: Primar- bis Tertiärbereich 2)
Staat;Jahr;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar
Portugal 4);2017;8766;10993;10463;10721;y;7451;11941;11788;10220
Schweden;2012;10312;10966;11329;11177;3610;5897;24025;22534;12742
Schweden;2013;10664;11306;11389;11354;4117;6478;24818;23219;13072
Schweden;2014;10804;11411;11291;11342;4313;6590;25554;24072;13219
Schweden;2015;10853;11493;11331;11402;5102;6777;25889;24417;13289
Schweden;2016;11338;12020;11790;11892;5717;6723;25766;24341;13693
Schweden;2017;12189;12894;12427;12634;5883;6874;27167;25584;14505
Schweiz 4);2012;13889;16370;17024;16731;y;y;y;25264;17485
Schweiz 4);2013;15930;19698;18479;18994;y;y;25126;25126;19052
Schweiz 4);2014;15177;19483;11671;15022;y;y;27831;27831;17436
Schweiz 4);2015;m;m;m;m;m;m;m;m;m
Schweiz 4);2016;m;m;18990;m;y;m;m;m;m
Schweiz 4);2017;m;m;18966;m;y;m;m;m;m
Slowakei 4);2012;5415;5283;5027;5152;y;y;9022;9022;6072
Slowakei 4);2013;5942;5755;5839;5795;6453;6254;10370;10321;6735
Slowakei 4);2014;6235;6308;6618;6453;7590;8118;11346;11290;7279
Slowakei 4);2015;6877;6282;7092;6660;7774;8263;15998;15874;8477
Slowakei 4);2016;6922;6426;6698;6551;7377;6827;11493;11413;7530
Slowakei 4);2017;6836;6121;7370;6652;6383;8345;11776;11715;7562
Slowenien;2012;9015;9802;6898;8022;y;6874;11615;11002;9031
Slowenien;2013;9121;10085;7872;8739;a;4092;13360;12064;9597
Slowenien;2014;9335;10432;7716;8785;a;3943;13326;12067;9698
Slowenien;2015;8542;9925;7230;8290;a;3129;11140;10208;8778
Slowenien;2016;8621;10481;7236;8487;a;2707;12507;11257;9080
Slowenien;2017;9062;11336;8110;9370;a;3757;14100;12787;9897
Spanien;2012;7111;9137;9145;9141;y;9394;13040;12356;9040
Spanien;2013;6956;8303;8729;8520;y;9085;13511;12604;8755
Spanien;2014;6970;8347;8704;8528;y;8784;13464;12489;8752
Spanien;2015;7320;8765;9269;9020;y;9088;13487;12605;9130
Spanien;2016;7653;9056;9946;9502;y;9339;13422;12614;9464
Spanien;2017;8161;9567;10711;10134;y;9795;14387;13446;10105
Tschechien;2012;4728;7902;7119;7469;2445;16645;10304;10319;7684
Tschechien;2013;4730;8061;7682;7861;2221;16478;10417;10432;7493
Tschechien;2014;5101;8507;7905;8191;2428;17292;10504;10521;7751
Tschechien;2015;5207;8714;8251;8476;2399;18635;10870;10891;7919
Tschechien;2016;5104;8598;8257;8425;2759;16908;9990;10009;7612
Tschechien;2017;5971;10081;9246;9666;2763;18866;11462;11484;8732
Türkei;2012;2577;2448;3524;2904;a;y;y;7779;3514
Türkei;2013;2894;3337;3914;3590;a;y;y;10637;4482
Türkei;2014;3589;2953;3570;3268;a;y;y;8927;4259
Türkei;2015;4134;3491;3528;3511;a;y;y;8901;4652
Türkei;2016;4168;4063;5213;4659;a;y;y;10519;5633
Türkei;2017;4002;3912;5776;4859;a;y;y;9708;5586
Ungarn;2012;4370;4459;4386;4419;3698;2897;9658;8876;5564
Ungarn;2013;5435;3994;4439;4236;4154;7795;10221;9980;5591
Ungarn;2014;3789;3915;8033;6104;9855;6187;8831;8688;6126
