Tab.2.1.7;;;;;;;;;;;;
;;;;;;;;;;;;
Ausgaben von Bildungseinrichtungen je Schüler/-in und Studierende/-n nach Staaten und Bildungsbereichen (ISCED 1997) in US-Dollar in umgerechneter Kaufkraftparität 1);;;;;;;;;;;;
;;;;;;;;;;;;
;;ISCED 0: Elementarbereich (für 3-Jährige und Ältere);ISCED 1: Primarbereich;ISCED 2: Sekundarbereich I;ISCED 3: Sekundarbereich II;ISCED 2/3: Sekundarbereich insgesamt;ISCED 4: Post-sekundarer, nicht-tertiärer Bereich;ISCED 5B: Tertiärbereich B;ISCED 5A/6: Tertiärbereich A und weiterführende Forschungsprogramme;ISCED 5/6: Tertiärbereich insgesamt;ISCED 5: Tertiärbereich ohne Forschungs- und Entwicklungsaktivitäten;Alle Bildungsbereiche (ohne Elementarbereich)
Staat;Jahr;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar
Island 2)6);2006;8154;9299;8910;8196;8493;y;y;y;8579;m;8823
Island 2)6);2007;8884;9629;9147;7807;8349;y;y;y;9309;m;9015
Island 2)6);2008;10080;10599;10100;8290;9007;y;y;y;10429;m;9873
Island 2)6);2009;9636;10099;9778;7934;8644;y;y;y;9939;m;9429
Island 2)6);2010;8606;9482;9204;7014;7841;y;y;y;8728;m;8619
Island 2)6);2011;9138;10339;10160;7461;8470;y;y;y;8612;m;9180
Israel 2);1997;m;m;m;m;m;m;m;m;m;m;m
Israel 2);1998;3094;4135;y;y;5115;3570;8413;11400;10765;m;m
Israel 2);1999;3415;4240;y;y;5164;4115;7965;12088;11210;m;m
Israel 2);2000;3369;4351;y;y;5518;4240;8115;15544;11550;m;5837
Israel 2);2001;3428;4650;y;y;5617;4051;7521;12751;11494;m;6033
Israel 2);2002;3663;4770;y;y;5767;4165;7762;12325;11295;m;6140
Israel 2);2003;3718;5017;y;y;5959;3723;8372;12941;11945;m;6436
Israel 2);2004;4278;5192;y;y;6066;4272;8673;11922;11289;8771;6540
Israel 2);2005;3650;4699;y;y;5495;4275;8232;11581;10919;8476;6000
Israel 2);2006;3803;4923;y;y;5858;4850;8780;11680;11132;m;6293
Israel 2);2007;3631;5060;y;y;5741;4910;9092;11977;11435;m;6344
Israel 2);2008;3953;5314;y;y;6429;5429;9690;13248;12568;m;6885
Israel 2);2009;3998;5202;y;y;5842;4871;9393;11621;11214;m;6410
Israel 2);2010;3910;5758;y;y;5616;5096;9748;10945;10730;m;6537
Israel 2);2011;4058;6823;y;y;5712;2834;6474;12711;11554;m;7167
Italien 2)6);1997;4462;5073;6716;5983;6284;y;5206;5981;5972;m;m
Italien 2)6);1998;4730;5653;6627;6340;6458;y;6283;6295;6295;m;m
